,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cidreira,89,BR,1558755298,75,-30.17,-50.22,62.83,8.99
1,Moyale,36,ET,1558755446,93,3.52,39.05,66.61,6.2
2,Yanam,40,IN,1558755448,63,16.73,82.22,91.4,9.17
3,Coelho Neto,26,BR,1558755449,97,-4.25,-43.02,73.09,2.19
4,Guerrero Negro,0,MX,1558755355,80,27.97,-114.04,63.19,15.68
5,Saskylakh,100,RU,1558755280,88,71.97,114.09,28.81,6.33
6,Hermanus,42,ZA,1558755265,87,-34.42,19.24,57.0,5.01
7,Clyde River,90,CA,1558755260,100,70.47,-68.59,24.8,12.75
8,Lata,0,IN,1558755455,92,30.78,78.62,35.47,2.66
9,Te Anau,100,NZ,1558755257,86,-45.41,167.72,48.61,6.91
10,Kapaa,40,US,1558755217,78,22.08,-159.32,82.4,12.75
11,Upernavik,100,GL,1558755308,78,72.79,-56.15,34.93,9.51
12,Victoria,75,BN,1558755207,84,5.28,115.24,89.01,3.36
13,Aklavik,40,CA,1558755296,58,68.22,-135.01,53.6,8.05
14,Bluff,0,AU,1558755267,37,-23.58,149.07,78.13,8.57
15,Iskateley,16,RU,1558755312,81,67.68,53.15,32.05,12.66
16,Rikitea,42,PF,1558755269,72,-23.12,-134.97,75.97,6.96
17,La Ronge,90,CA,1558755466,81,55.1,-105.3,46.4,11.41
18,Kavieng,36,PG,1558755265,65,-2.57,150.8,85.69,5.21
19,Batagay-Alyta,88,RU,1558755469,92,67.8,130.41,36.91,0.87
20,Repnoye,47,RU,1558755470,62,51.59,43.18,54.0,8.99
21,Whitehorse,75,CA,1558755371,35,60.72,-135.06,61.0,4.7
22,Quelimane,75,MZ,1558755473,94,-17.88,36.89,68.0,3.36
23,Punta Arenas,40,CL,1558755429,86,-53.16,-70.91,37.4,10.29
24,Tura,100,IN,1558755475,87,25.52,90.21,81.55,6.33
25,Thompson,90,CA,1558755287,93,55.74,-97.86,41.0,5.82
26,Mataura,88,NZ,1558755264,62,-46.19,168.86,60.01,7.0
27,Sorland,1,NO,1558755272,77,67.67,12.69,41.05,26.42
28,Tasiilaq,0,GL,1558755330,92,65.61,-37.64,26.6,2.24
29,Tiksi,74,RU,1558755275,96,71.64,128.87,32.23,7.87
30,New Norfolk,75,AU,1558755261,38,-42.78,147.06,60.8,20.8
31,Lasa,40,CY,1558755374,77,34.92,32.53,68.0,5.82
32,Albany,90,US,1558755264,63,42.65,-73.75,60.8,2.48
33,Laguna,64,MX,1558755487,26,27.52,-110.01,77.41,5.55
34,Abu Kamal,62,SY,1558755332,14,34.45,40.92,91.81,10.96
35,Burnie,97,AU,1558755489,76,-41.05,145.91,59.0,11.01
